As:1,As:2,As:3,As:4,Qz:1,Qz:2,Qz:3,Qz:4,S-I,Grade
39.5,90,120,80,7.5,4.5,4.5,0,9.75,Pass
40,62,93,32.5,1.5,,0.5,0,3.37,Fail
42.5,63,120,62,,,1,0,6.56,Fail
20.5,42,60,70,1,2,,0,5.06,Fail
43,65,125,10,3,1,0,0,4.5,Fail
42,90,125,70,4,3.5,6,2,10.31,Pass
22,76,110,65,2.5,2,4,0,6.75,Fail
48,80,130,75,6,4,,0,7.31,Pass
50.5,100,135,70,5.5,2,7.5,7,11.62,Pass
45.5,98,137,70,5.5,3,5,6,12,Pass
13.5,59,65,35,1,1,1,0,3.37,Fail
42,97,130,67,5.5,2.5,3,0,8.06,Pass
46.5,100,140,80,3.5,3,5,0,7.87,Pass
46,61,135,70,1,0,,,4.87,Fail
37,72.5,90,50,2,2,0,0,4.5,Fail
38,86,110,58,2,0,2.5,6,8.62,Pass
28.5,75,135,75,3,0,2.5,1,3.75,Fail
53.5,93,105,65,4,1,2.5,2,10.87,Pass
52.5,81,120,40,5,1.5,0,1,7.68,Fail
49,86,138,73,0.5,3,6,3,10.5,Pass
37,100,68.5,40,2,0,3.5,0,6,Fail
45,100,100,60,6,0,9,0,4.31,Pass
34.5,5,68,35,2,2,1,0,3.37,Fail
60,100,140,80,7.5,6.5,3.5,1,10.87,Pass
44.5,40,110,70,2,2,0,0,6.75,Fail
43.5,90,90,60,1.5,2.5,2.5,0,5.25,Fail
15,75,100,45,3,3,3,0,6.18,Fail
40.5,95,115,65,3,5.5,0,0,2.25,Fail
53,82,130,80,3.5,8.5,6,3,11.06,Pass
45,55,120,65,1,2.5,2,0,1.5,Fail
44,78.5,70,15,1,2.5,0,1,4.31,Fail
39,59,91,30,6.5,2,2,0,3.37,Fail
44,96,110,55,3,2,1.5,1,7.12,Pass
25.5,,105,55,3.5,0,1,0,7.12,Fail
44,70,120,65,0.5,5,5,0,7.68,Pass
32.5,37,118,48,1,0,2,0,6.37,Pass
45,78,120,75,5,6.5,2,1,8.81,Pass
43.5,73,135,72,3,1,1,0,5.43,Fail
41,90,125,65,4,0,4.5,0,1.12,Fail
41,85,98,48,2.5,0,4.5,1,1.5,Fail
27.5,68,,,5.5,2,1,0,0.37,Fail
45,92,120,70,3,2,1,1,3.37,Fail
47.5,88,126,30,3.5,0,8,0,4.87,Fail
48,90,120,68,4,0,3,7,4.31,Fail
32,50,95,51,2,0,1,1,1.87,Fail
48,82,90,45,3,0,3,0,3.56,Fail
55,100,130,68,7.5,4,10,10,11.81,Pass
54,83,138,78,4,2,7.5,0,10.12,Pass
33,80,125,53,3.5,1,8,0,2.25,Fail
31,88,66,35,4,0,1,1,5.43,Pass
50.5,87,76,30,4,0,1.5,0,5.43,Pass
46,100,136,78,9,10,10,2,9.75,Pass
49,87,100,75,6.5,1,8.5,2,6.37,Pass
50,86,120,55,3.5,3,6,0,4.31,Fail
54,98,125,75,3,4,10,1,9,Pass
40,97,60,70,4.5,1,0,0,5.43,Pass
53.5,96,94,50,9,2.5,8.5,,6.37,Pass
